,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Unnamed: 13
25,NR Mongia (INDIA),1994-2000,140,96,33,1272,69,20.19,1846,68.9,0,2,4,
26,C Munro (NZ),2013-2019,57,53,2,1271,87,24.92,1214,104.69,0,8,7,
27,JEC Franklin (NZ),2001-2013,110,80,27,1270,98*,23.96,1651,76.92,0,4,5,
28,AB Agarkar (INDIA),1998-2007,191,113,26,1269,95,14.58,1574,80.62,0,3,10,
29,Shoaib Mohammad (PAK),1984-1993,63,58,6,1269,126*,24.4,2492,50.92,1,8,8,
30,Basit Ali (PAK),1993-1996,50,43,6,1265,127*,34.18,1669,75.79,1,9,3,
31,MN Waller (ZIM),2009-2018,79,72,6,1259,99*,19.07,1639,76.81,0,5,10,
32,MD Gunathilaka (SL),2015-2019,38,37,1,1249,133,34.69,1454,85.9,2,8,1,
33,JDS Neesham (NZ),2013-2019,59,50,10,1247,97*,31.17,1260,98.96,0,6,2,
34,SP O'Donnell (AUS),1985-1991,87,64,15,1242,74*,25.34,1534,80.96,0,9,5,
35,RR Rossouw (SA),2014-2016,36,35,3,1239,132,38.71,1313,94.36,3,7,5,
36,Harbhajan Singh (Asia/INDIA),1998-2015,236,128,35,1237,49,13.3,1526,81.06,0,0,17,
37,SG Law (AUS),1994-1999,54,51,5,1237,110,26.89,1643,75.28,1,7,3,
38,Alok Kapali (BDESH),2002-2011,69,66,3,1235,115,19.6,1817,67.96,1,5,5,
39,GM Hamilton (SCOT),1999-2010,38,38,3,1231,119,35.17,1847,66.64,2,7,1,
40,D Mongia (INDIA),2001-2007,57,51,7,1230,159*,27.95,1721,71.47,1,4,4,
41,RW Marsh (AUS),1971-1984,92,76,15,1225,66,20.08,1489,82.26,0,4,7,
42,HDPK Dharmasena (SL),1994-2004,141,87,33,1222,69*,22.62,1879,65.03,0,4,2,
43,Shaiman Anwar (UAE),2014-2019,40,40,1,1219,106,31.25,1477,82.53,1,11,2,
44,Noor Ali Zadran (AFG),2009-2019,51,50,1,1216,114,24.81,1923,63.23,1,7,4,
45,TM Moody (AUS),1987-1999,76,64,12,1211,89,23.28,1747,69.31,0,10,6,
46,Junaid Siddique (BDESH),2007-2011,54,53,1,1196,100,23,1753,68.22,1,6,6,
47,Mohammad Rafique (Asia/BDESH),1995-2007,125,106,17,1191,77,13.38,1663,71.61,0,2,15,
48,CR Woakes (ENG),2011-2019,99,68,20,1186,95*,24.7,1316,90.12,0,4,6,
49,B Lee (AUS),2000-2012,221,110,44,1176,59,17.81,1407,83.58,0,3,16,
0,JA Rudolph (Afr/SA),2003-2006,45,39,6,1174,81,35.57,1725,68.05,0,7,0,
1,Nawroz Mangal (AFG),2009-2016,49,48,6,1139,129,27.11,1512,75.33,2,4,4,
2,MH Cross (SCOT),2014-2019,52,48,1,1136,114,24.17,1536,73.95,2,5,0,
3,T Mishra (KENYA),2006-2013,42,40,7,1128,72,34.18,1534,73.53,0,8,4,
4,HM Nicholls (NZ),2015-2019,45,43,10,1120,124*,33.93,1359,82.41,1,9,5,
5,PL Mommsen (SCOT),2010-2017,44,42,6,1115,139*,30.97,1615,69.04,2,6,2,
6,MF Maharoof (SL),2004-2016,109,75,18,1113,69*,19.52,1294,86.01,0,2,3,
7,CJ Anderson (NZ),2013-2017,49,45,5,1109,131*,27.72,1020,108.72,1,4,4,
8,HS Modi (KENYA),1996-2006,63,56,9,1109,78*,23.59,1906,58.18,0,5,5,
9,ES Szwarczynski (NL),2006-2014,41,40,3,1102,98,29.78,1615,68.23,0,10,2,
10,VS Solanki (ENG),2000-2006,51,46,5,1097,106,26.75,1504,72.93,2,5,2,
11,B Zuiderent (NL),1996-2011,57,56,10,1097,77*,23.84,1873,58.56,0,8,7,
12,PA Strang (ZIM),1994-2001,95,73,24,1090,47,22.24,1651,66.02,0,0,5,
13,G Boycott (ENG),1971-1981,36,34,4,1082,105,36.06,2020,53.56,1,9,1,
14,F Behardien (SA),2013-2018,59,49,14,1074,70,30.68,1097,97.9,0,6,4,
15,NL McCullum (NZ),2009-2015,84,62,11,1070,65,20.98,1220,87.7,0,4,3,
16,Asif Mujtaba (PAK),1986-1996,66,55,14,1068,113*,26.04,1671,63.91,1,6,8,
17,DW Randall (ENG),1976-1985,49,45,5,1067,88,26.67,1702,62.69,0,5,4,
18,Hashmatullah Shahidi (AFG),2013-2019,39,39,6,1062,97*,32.18,1667,63.7,0,9,4,
19,DS Smith (WI),2003-2013,47,45,2,1059,107,24.62,1506,70.31,1,5,4,
20,JK Kamande (KENYA),1999-2011,86,72,11,1055,74,17.29,1685,62.61,0,3,8,
21,IDS Smith (NZ),1980-1992,98,77,16,1055,62*,17.29,1061,99.43,0,3,7,
22,C Kieswetter (ENG),2010-2013,46,40,5,1054,107,30.11,1172,89.93,1,5,4,
23,Anamul Haque (BDESH),2012-2019,38,35,0,1052,120,30.05,1488,70.69,3,3,6,
24,MP Stoinis (AUS),2015-2019,41,38,7,1050,146*,33.87,1143,91.86,1,6,3,
25,KD Mills (NZ),2001-2015,170,101,34,1047,54,15.62,1282,81.66,0,2,8,
26,JM How (NZ),2005-2011,41,37,1,1046,139,29.05,1572,66.53,1,7,3,
27,Gulbadin Naib (AFG),2011-2019,65,56,8,1041,82*,21.68,1424,73.1,0,5,5,
28,AD Russell (WI),2011-2019,56,47,9,1034,92*,27.21,794,130.22,0,4,6,
29,JP Faulkner (AUS),2013-2017,69,52,22,1032,116,34.4,990,104.24,1,4,4,
30,DSBP Kuruppu (SL),1983-1990,54,52,1,1022,72,20.03,1978,51.66,0,4,3,
31,AG Prince (Afr/SA),2002-2007,52,41,12,1018,89*,35.1,1502,67.77,0,3,4,
32,SK Warne (AUS/ICC),1993-2005,194,107,29,1018,55,13.05,1413,72.04,0,1,10,
33,SM Patil (INDIA),1980-1986,45,42,1,1005,84,24.51,1223,82.17,0,9,4,
34,KOA Powell (WI),2009-2018,46,44,0,1005,83,22.84,1278,78.63,0,9,4,
35,Rajin Saleh (BDESH),2003-2006,43,43,1,1005,108*,23.92,1833,54.82,1,6,5,
36,PW Borren (NL),2006-2014,58,50,5,1004,96,22.31,1176,85.37,0,5,5,
37,NFI McCallum (SCOT),2006-2011,43,42,6,1002,121*,27.83,1451,69.05,2,4,3,
38,Khaled Mahmud (BDESH),1998-2006,77,72,3,991,50,14.36,1461,67.83,0,1,9,
39,BL Cairns (NZ),1974-1985,78,65,6,987,60,16.72,941,104.88,0,2,6,
40,MJ Slater (AUS),1993-1997,42,42,1,987,73,24.07,1634,60.4,0,9,3,
41,MJ Horne (NZ),1997-2002,50,48,0,980,74,20.41,1515,64.68,0,5,3,
42,Akram Khan (BDESH),1988-2003,44,44,2,976,65,23.23,1721,56.71,0,5,3,
43,TLW Cooper (NL),2010-2013,23,22,2,976,101,48.8,1391,70.16,1,8,0,
44,Javed Ahmadi (AFG),2010-2019,44,41,0,976,81,23.8,1291,75.6,0,7,2,
45,Naeem Islam (BDESH),2008-2014,59,51,15,975,84,27.08,1473,66.19,0,5,5,
46,DF Watts (SCOT),2006-2011,36,35,1,974,101,28.64,1559,62.47,1,9,4,
47,Waqar Younis (PAK),1989-2003,262,139,45,969,37,10.3,1445,67.05,0,0,15,
48,Fawad Alam (PAK),2007-2015,38,36,12,966,114*,40.25,1297,74.47,1,6,3,
49,SA Thomson (NZ),1990-1996,56,52,10,964,83,22.95,1427,67.55,0,5,2,
0,JF Mooney (IRE),2006-2015,64,55,14,963,96,23.48,1215,79.25,0,3,6,
1,GM Ritchie (AUS),1982-1987,44,42,7,959,84,27.4,1479,64.84,0,6,2,
2,HH Pandya (INDIA),2016-2019,54,38,6,957,83,29.9,828,115.57,0,4,3,
3,RR Watson (SCOT),2006-2010,35,35,4,956,123*,30.83,1286,74.33,1,6,4,
4,MD Marshall (WI),1980-1992,136,83,19,955,66,14.92,1246,76.64,0,2,5,
5,SF Mire (ZIM),2014-2019,47,47,0,955,112,20.31,1190,80.25,1,3,4,
6,Imad Wasim (PAK),2015-2019,53,39,16,952,63*,41.39,868,109.67,0,5,1,
7,MG Johnson (AUS),2005-2015,153,91,32,951,73*,16.11,987,96.35,0,2,6,
8,RS Madugalle (SL),1979-1988,63,56,5,950,73,18.62,1574,60.35,0,3,4,
9,NT Broom (NZ),2009-2017,39,39,4,943,109*,26.94,1161,81.22,1,5,7,
10,A Kumble (Asia/INDIA),1990-2007,271,136,47,938,26,10.53,1536,61.06,0,0,18,
11,CM Spearman (NZ),1995-2001,51,50,0,936,86,18.72,1202,77.87,0,5,6,
12,RV Uthappa (INDIA),2006-2015,46,42,6,934,86,25.94,1031,90.59,0,6,4,
13,W Barresi (NL),2010-2019,32,31,5,927,137*,35.65,1225,75.67,1,6,4,
14,AN Kervezee (NL),2006-2012,39,36,3,924,92,28,1263,73.15,0,4,2,
15,S Dhaniram (CAN),2006-2010,44,41,4,915,92,24.72,1126,81.26,0,6,2,
16,AJ Hall (SA),1999-2007,88,56,13,905,81,21.04,1206,75.04,0,3,5,
17,Rashid Khan (AFG),2015-2019,71,56,9,905,60*,19.25,906,99.88,0,4,6,
18,MJ Santner (NZ),2015-2019,69,54,21,898,67,27.21,1021,87.95,0,2,3,
19,TD Paine (AUS),2009-2018,35,35,3,890,111,27.81,1257,70.8,1,5,1,
20,KL Rahul (INDIA),2016-2019,26,25,4,889,111,42.33,1098,80.96,3,5,2,
21,JWA Taylor (ENG),2011-2015,27,26,5,887,101,42.23,1107,80.12,1,7,2,
22,J Srinath (INDIA),1991-2003,229,121,38,883,53,10.63,1109,79.62,0,1,19,
23,Yashpal Sharma (INDIA),1978-1985,42,40,9,883,89,28.48,1401,63.02,0,4,0,
24,TT Bresnan (ENG),2006-2015,85,64,20,871,80,19.79,965,90.25,0,1,6,
25,SHT Kandamby (SL),2004-2014,39,36,6,870,93*,29,1250,69.6,0,5,2,
26,AC Voges (AUS),2007-2013,31,28,9,870,112*,45.78,998,87.17,1,4,0,
27,DJ Richardson (SA),1991-1998,122,77,33,868,53,19.72,1298,66.87,0,1,6,
28,MA Vermeulen (ZIM),2000-2009,43,43,4,868,92,22.25,1227,70.74,0,6,4,
29,HK Badani (INDIA),2000-2004,40,36,10,867,100,33.34,1180,73.47,1,4,1,
30,GO Jones (ENG/PNG),2004-2014,51,43,8,862,80,24.62,1117,77.17,0,4,1,
31,TT Samaraweera (SL),1998-2011,53,42,11,862,105*,27.8,1244,69.29,2,0,4,
32,SB Smith (AUS),1983-1985,28,24,2,861,117,39.13,1319,65.27,2,8,1,
33,DL Amiss (ENG),1972-1977,18,18,0,859,137,47.72,1185,72.48,4,1,0,
34,RA Harper (WI),1983-1996,105,73,20,855,45*,16.13,1162,73.58,0,0,5,
35,WB Phillips (AUS),1982-1986,48,41,6,852,75*,24.34,994,85.71,0,6,1,
36,CWJ Athey (ENG),1980-1988,31,30,3,848,142*,31.4,1495,56.72,2,4,1,
37,RS Kalpage (SL),1992-1999,86,69,28,844,51,20.58,1320,63.93,0,1,2,
38,MAR Samarasekera (SL),1983-1994,39,39,2,844,76,22.81,1207,69.92,0,4,2,
39,D Ganga (WI),1999-2006,35,34,1,843,71,25.54,1414,59.61,0,9,5,
40,CA Ingram (SA),2010-2013,31,29,3,843,124,32.42,1024,82.32,3,3,5,
41,BM McMillan (SA),1991-1998,78,52,16,841,127,23.36,1147,73.32,1,0,3,
42,CK Coventry (ZIM),2003-2015,39,35,1,831,194*,24.44,937,88.68,1,3,5,
43,Anshuman Rath (HKG),2014-2018,18,18,2,828,143*,51.75,1080,76.66,1,7,1,
44,PJ Moor (ZIM),2014-2019,49,45,5,827,58*,20.67,1225,67.51,0,4,3,
45,DW Hookes (AUS),1977-1986,39,36,2,826,76,24.29,1146,72.07,0,5,3,
46,PJ Hughes (AUS),2013-2014,25,24,1,826,138*,35.91,1100,75.09,2,4,1,
47,AI Kallicharran (WI),1973-1981,31,28,4,826,78,34.41,1329,62.15,0,6,0,
48,JR Ratnayeke (SL),1982-1990,78,69,14,824,50,14.98,1571,52.45,0,1,4,
49,GN Yallop (AUS),1978-1984,30,27,6,823,66*,39.19,1288,63.89,0,7,1,
0,AC Waller (ZIM),1987-1997,39,38,3,818,83*,23.37,1172,69.79,0,4,4,
1,DM de Silva (SL),2016-2019,42,39,7,814,84,25.43,1073,75.86,0,4,3,
2,Sharjeel Khan (PAK),2013-2017,25,25,0,812,152,32.48,716,113.4,1,6,2,
3,YK Pathan (INDIA),2008-2012,57,41,11,810,123*,27,713,113.6,2,3,7,
4,AT Carey (AUS),2018-2019,29,26,6,804,85,40.2,874,91.99,0,4,1,
5,JM Davison (CAN),2003-2011,32,32,2,799,111,26.63,767,104.17,1,5,5,
6,Aminul Islam (BDESH),1988-2002,39,39,5,794,70,23.35,1403,56.59,0,3,5,
7,Z Khan (Asia/INDIA),2000-2012,200,101,35,792,34*,12,1078,73.46,0,0,15,
8,GB Hogg (AUS),1996-2008,123,65,26,790,71*,20.25,1004,78.68,0,2,9,
9,Majid Khan (PAK),1973-1982,23,22,1,786,109,37.42,1052,74.71,1,7,1,
10,S Wettimuny (SL),1982-1987,35,33,1,786,86*,24.56,1636,48.04,0,4,1,
11,Babar Hayat (HKG),2014-2018,22,22,2,784,89,39.2,999,78.47,0,8,3,
12,R Lamba (INDIA),1986-1989,32,31,2,783,102,27,1166,67.15,1,6,2,
13,IH Romaine (BMUDA),2006-2009,35,34,3,783,101,25.25,1222,64.07,1,4,5,
14,JA Morkel (Afr/SA),2004-2012,58,43,10,782,97,23.69,780,100.25,0,2,1,
15,Wasim Raja (PAK),1973-1985,54,45,10,782,60,22.34,1168,66.95,0,2,6,
16,Abdur Razzak (BDESH),2004-2014,153,97,39,779,53*,13.43,1020,76.37,0,1,12,
17,AR White (IRE),2006-2014,61,46,3,776,79,18.04,1235,62.83,0,1,4,
18,Liton Das (BDESH),2015-2019,33,33,2,768,121,24.77,871,88.17,1,3,4,
19,Saleem Yousuf (PAK),1982-1990,86,62,19,768,62,17.86,1024,75,0,4,5,
20,CN Evans (ZIM),1992-2002,53,47,5,764,96*,18.19,1006,75.94,0,2,3,
21,Rizwan Cheema (CAN),2008-2013,33,32,1,764,94,24.64,685,111.53,0,6,3,
22,KWR Fletcher (ENG),1971-1982,24,22,3,757,131,39.84,1134,66.75,1,5,0,
23,J Dyson (AUS),1980-1983,29,27,4,755,79,32.82,1553,48.61,0,4,1,
24,AR Cusack (IRE),2007-2015,59,47,14,745,71,22.57,1159,64.27,0,2,8,
25,AG Cremer (ZIM),2009-2018,96,71,20,744,58,14.58,1196,62.2,0,1,7,
26,G Fowler (ENG),1983-1986,26,26,2,744,81*,31,1321,56.32,0,4,2,
27,DT Johnston (IRE),2006-2013,67,53,15,743,45*,19.55,785,94.64,0,0,3,
28,Manzoor Elahi (PAK),1984-1995,54,46,13,741,50*,22.45,827,89.6,0,1,1,
29,AM Samad (CAN),2003-2009,27,27,2,740,130,29.6,1045,70.81,1,2,2,
30,A Vala (PNG),2014-2019,27,27,0,739,104,27.37,1082,68.29,1,2,1,
31,PA Patel (INDIA),2003-2012,38,34,3,736,95,23.74,962,76.5,0,4,2,
32,Sohaib Maqsood (PAK),2013-2016,26,25,2,735,89*,31.95,881,83.42,0,5,1,
33,MW Machan (SCOT),2013-2016,23,22,0,734,114,33.36,952,77.1,1,3,1,
34,CJ Nevin (NZ),2000-2003,37,36,0,732,74,20.33,1000,73.2,0,4,4,
35,N Pooran (WI),2019-2019,19,17,3,728,118,52,661,110.13,1,5,1,
36,CJ Tavare (ENG),1980-1984,29,28,2,720,83*,27.69,1471,48.94,0,4,1,
37,TP Ura (PNG),2014-2019,26,26,0,718,151,27.61,892,80.49,1,2,2,
38,MA Ealham (ENG),1996-2001,64,45,4,716,45,17.46,1092,65.56,0,0,4,
39,IJ Harvey (AUS),1997-2004,73,51,11,715,48*,17.87,811,88.16,0,0,2,
40,Muhammad Usman (UAE),2016-2019,30,30,4,713,80,27.42,928,76.83,0,3,2,
41,Saqlain Mushtaq (PAK),1995-2003,169,98,38,711,37*,11.85,1434,49.58,0,0,13,
42,LJ Wright (ENG),2007-2014,50,39,4,707,52,20.2,820,86.21,0,2,5,
43,Mohammad Rizwan (PAK),2015-2019,32,28,7,705,115,33.57,787,89.58,2,3,1,
44,J Mubarak (SL),2002-2013,40,37,6,704,72,22.7,1115,63.13,0,4,1,
45,PA Wallace (WI),1991-2000,33,33,0,701,103,21.24,1151,60.9,1,2,4,
46,SM Ervine (ZIM),2001-2004,42,34,7,698,100,25.85,816,85.53,1,2,5,
47,PL Symcox (SA),1993-1999,80,54,13,694,61,16.92,830,83.61,0,3,6,
48,Rameez Shahzad (UAE),2016-2018,15,15,2,691,121*,53.15,817,84.57,2,4,1,
49,PAJ DeFreitas (ENG),1987-1997,103,66,23,690,67,16.04,823,83.83,0,1,4,
