,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Unnamed: 13
31,KJ O'Brien (IRE),2006-2019,142,130,17,3490,142,30.88,3922,88.98,2,18,5,
32,Mohammad Ashraful (Asia/BDESH),2001-2013,177,169,13,3468,109,22.23,4947,70.1,3,20,14,
33,SO Tikolo (Afr/KENYA),1996-2014,135,130,12,3428,111,29.05,4524,75.77,3,24,13,
34,HH Dippenaar (Afr/SA),1999-2007,107,95,14,3421,125*,42.23,5047,67.78,4,26,4,
35,A Flintoff (ENG/ICC),1999-2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9,
36,T Taibu (Afr/ZIM),2001-2012,150,137,21,3393,107*,29.25,5020,67.58,2,22,16,
37,JJ Roy (ENG),2015-2019,84,81,2,3381,180,42.79,3148,107.4,9,18,7,
38,KC Wessels (AUS/SA),1983-1994,109,105,7,3367,107,34.35,6088,55.3,1,26,0,
39,Babar Azam (PAK),2015-2019,74,72,10,3359,125*,54.17,3857,87.08,11,15,2,
40,AC Parore (NZ),1992-2002,179,161,32,3314,108,25.68,4867,68.09,1,14,19,
41,Moin Khan (PAK),1990-2004,219,183,41,3266,72*,23,4017,81.3,0,12,17,
42,Kamran Akmal (PAK),2002-2017,157,138,14,3236,124,26.09,3855,83.94,5,10,10,
43,AN Cook (ENG),2006-2014,92,92,4,3204,137,36.4,4154,77.13,5,19,7,
44,HDRL Thirimanne (SL),2010-2019,127,106,14,3194,139*,34.71,4419,72.27,4,21,7,
45,Umar Akmal (PAK),2009-2019,121,110,17,3194,102*,34.34,3712,86.04,2,20,8,
46,DI Gower (ENG),1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6,
47,KR Rutherford (NZ),1985-1995,121,115,9,3143,108,29.65,4888,64.3,2,18,6,
48,BJ Haddin (AUS),2001-2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2,
49,RJ Shastri (INDIA),1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5,
0,SM Gavaskar (INDIA),1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8,
1,DS Lehmann (AUS),1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4,
2,DA Miller (SA),2010-2019,126,110,31,3058,139,38.7,3054,100.13,5,12,8,
3,GJ Bailey (AUS),2012-2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3,
4,SD Hope (WI),2016-2019,72,67,10,3007,170,52.75,4046,74.32,8,15,4,
5,V Sibanda (Afr/ZIM),2003-2016,127,126,4,2994,116,24.54,4716,63.48,2,21,14,
6,DJ Bravo (WI),2004-2014,164,141,24,2968,112*,25.36,3606,82.3,2,10,11,
7,AM Rahane (INDIA),2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6,
8,HH Streak (Afr/ZIM),1993-2005,189,159,55,2943,79*,28.29,4008,73.42,0,13,6,
9,WW Hinds (WI),1999-2010,119,111,10,2880,127*,28.51,4393,65.55,5,14,8,
10,GJ Maxwell (AUS),2012-2019,110,100,11,2877,102,32.32,2332,123.37,1,19,9,
11,JM Bairstow (ENG),2011-2019,74,68,8,2861,141*,47.68,2749,104.07,9,11,5,
12,DM Bravo (WI),2009-2019,110,105,13,2839,124,30.85,4045,70.18,3,18,8,
13,IJL Trott (ENG),2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5,
14,AL Logie (WI),1981-1993,158,133,36,2809,109*,28.95,3801,73.9,1,14,13,
15,AH Jones (NZ),1987-1995,87,87,9,2784,93,35.69,4811,57.86,0,25,4,
16,Mohammad Nabi (AFG),2009-2019,124,112,12,2782,116,27.82,3252,85.54,1,15,6,
17,SE Marsh (AUS),2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3,
18,M Kaif (INDIA),2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8,
19,SV Carlisle (ZIM),1995-2005,111,107,8,2740,121*,27.67,4325,63.35,3,9,11,
20,MDKJ Perera (SL),2013-2019,98,93,5,2739,135,31.12,2945,93,5,14,8,
21,Mohammad Shahzad (AFG),2009-2019,84,84,3,2727,131*,33.66,3082,88.48,6,14,4,
22,Salman Butt (PAK),2004-2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15,
23,RG Twose (NZ),1995-2001,87,81,11,2717,103,38.81,3603,75.4,1,20,5,
24,GJ Whittall (ZIM),1993-2003,147,142,22,2705,83,22.54,4011,67.43,0,11,12,
25,RS Bopara (ENG),2007-2015,120,109,21,2695,101*,30.62,3462,77.84,1,14,4,
26,BA Stokes (ENG),2011-2019,95,81,15,2682,102*,40.63,2855,93.94,3,20,5,
27,Sikandar Raza (ZIM),2013-2019,97,93,15,2656,141,34.05,3249,81.74,3,14,1,
28,Mudassar Nazar (PAK),1977-1989,122,115,10,2653,95,25.26,5130,51.71,0,16,6,
29,EC Joyce (ENG/IRE),2006-2018,78,77,8,2622,160*,38,3630,72.23,6,15,5,
30,Ahmed Shehzad (PAK),2009-2017,81,81,1,2605,124,32.56,3614,72.08,6,14,7,
31,NJ O'Brien (IRE),2006-2018,103,101,9,2581,109,28.05,3638,70.94,1,18,3,
32,Zaheer Abbas (PAK),1974-1985,62,60,6,2572,123,47.62,3033,84.8,7,13,2,
33,CR Ervine (ZIM),2010-2019,93,90,11,2571,130*,32.54,3406,75.48,3,15,7,
34,AC Hudson (SA),1991-1997,89,88,1,2559,161,29.41,3960,64.62,2,18,6,
35,TWM Latham (NZ),2012-2019,95,88,9,2550,137,32.27,3096,82.36,4,15,7,
36,VG Kambli (INDIA),1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4,
37,Imrul Kayes (BDESH),2008-2018,78,78,2,2434,144,32.02,3423,71.1,4,16,2,
38,JDP Oram (NZ),2001-2012,160,116,15,2434,101*,24.09,2810,86.61,1,13,8,
39,TM Odoyo (Afr/KENYA),1996-2014,136,119,16,2420,111*,23.49,3438,70.38,1,8,13,
40,AD Hales (ENG),2014-2019,70,67,3,2419,171,37.79,2527,95.72,6,14,5,
41,RA Smith (ENG),1988-1996,71,70,8,2419,167*,39.01,3473,69.65,4,15,4,
42,L Vincent (NZ),2001-2007,102,99,10,2413,172,27.11,3453,69.88,3,11,8,
43,KJ Coetzer (SCOT),2008-2019,59,57,2,2409,156,43.8,2795,86.18,4,17,5,
44,KA Pollard (WI),2007-2019,107,99,7,2398,119,26.06,2547,94.14,3,10,13,
45,CJ Chibhabha (ZIM),2005-2018,103,103,2,2389,99,23.65,3784,63.13,0,16,7,
46,GP Thorpe (ENG),1993-2002,82,77,13,2380,89,37.18,3344,71.17,0,21,3,
47,Rahmat Shah (AFG),2013-2019,73,69,2,2359,114,35.2,3366,70.08,4,16,3,
48,Asghar Afghan (AFG),2009-2019,111,105,9,2356,101,24.54,3531,66.72,1,12,7,
49,VVS Laxman (INDIA),1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3,
0,RR Singh (INDIA),1989-2001,136,113,23,2336,100,25.95,3144,74.3,1,9,5,
1,N Hussain (ENG),1989-2003,88,87,10,2332,115,30.28,3481,66.99,1,16,6,
